,"deklination","stamme"
"calceatus","1./2.","o-/a-stamme"
"calidus","1./2.","o-/a-stamme"
"campester","3.","r-stamme"
"Cananeus","1./2.","o-/a-stamme"
"candidus","1./2.","o-/a-stamme"
"captivus","1./2.","o-/a-stamme"
"carnalis","3.","i-stamme"
"carus","1./2.","o-/a-stamme"
"castus","1./2.","o-/a-stamme"
"centeni","1./2.","o-/a-stamme"
"centuplus","1./2.","o-/a-stamme"
"certus","1./2.","o-/a-stamme"
"ceterus","1./2.","o-/a-stamme"
"chananeus","1./2.","o-/a-stamme"
"Christianus","1./2.","o-/a-stamme"
"cilicinus","1./2.","o-/a-stamme"
"circumamictus","1./2.","o-/a-stamme"
"clarus","1./2.","o-/a-stamme"
"claudus","1./2.","o-/a-stamme"
"coaequalis","3.","i-stamme"
"coccineus","1./2.","o-/a-stamme"
"cognatus","1./2.","o-/a-stamme"
"cognitus","1./2.","o-/a-stamme"
"coinquinatus","1./2.","o-/a-stamme"
"collactaneus","1./2.","o-/a-stamme"
"commendaticius","1./2.","o-/a-stamme"
"communis","3.","i-stamme"
"compar","3.","r-stamme"
"complures","3.","i-stamme"
"condignus","1./2.","o-/a-stamme"
"confertus","1./2.","o-/a-stamme"
"conformis","3.","i-stamme"
"conscius","1./2.","o-/a-stamme"
"constans","3.","t-stamme"
"contemptibilis","3.","i-stamme"
"contentiosus","1./2.","o-/a-stamme"
"contentus","1./2.","o-/a-stamme"
"continuus","1./2.","o-/a-stamme"
"contrarius","1./2.","o-/a-stamme"
"contumeliosus","1./2.","o-/a-stamme"
"copiosus","1./2.","o-/a-stamme"
"corporalis","3.","i-stamme"
"corruptibilis","3.","i-stamme"
"cottidianus","1./2.","o-/a-stamme"
"crastinus","1./2.","o-/a-stamme"
"cunctus","1./2.","o-/a-stamme"
"cupidus","1./2.","o-/a-stamme"
"curiosus","1./2.","o-/a-stamme"
"Cyprius","1./2.","o-/a-stamme"
"Cyrenaeus","1./2.","o-/a-stamme"
"Cyrenensis","3.","i-stamme"
"dealbatus","1./2.","o-/a-stamme"
"debilis","3.","i-stamme"
"definitus","1./2.","o-/a-stamme"
"deni","1./2.","o-/a-stamme"
"Derbeus","1./2.","o-/a-stamme"
"desertus","1./2.","o-/a-stamme"
"desiderans","3.","t-stamme"
